url,depth,status,content_type,summary,tags
https://wiki.python.org,0,visited,text/html,"The provided HTML contains links to Python and Jython sites, which are the primary sections within the document. The summary would typically represent a brief overview of the website's content or its main offerings.","python, jython, wiki, github"
https://wiki.python.org/,1,visited,text/html,"The provided webpage appears to be a collection of information related to Python sites and Jython sites hosted by the Python Software Foundation. The main navigation structure includes sections for Python and Jython sites, each containing links to specific wiki pages.","python, jython"
https://wiki.python.org/moin/,1,visited,text/html,"The Python Wiki is a user-editable compendium of knowledge based around the Python programming language. It contains information on tutorials, courses, conferences, and community resources related to Python.","Python, Programming Language, Guidelines, Events, Courses, Conferences, Community"
https://wiki.python.org/jython/,1,visited,text/html,,
https://wiki.python.org/moin/FrontPage,2,visited,text/html,"Welcome to the Python Wiki, a user-editable compendium of knowledge based around the Python programming language. Some pages are protected against casual editing - see [WikiEditingGuidelines](/moin/WikiEditingGuidelines) for more information about editing content.","Python, Programming Language, Beginners Guide, Documentation, Events and Community, Software, Core Development, Using and Editing the Wiki"
https://wiki.python.org/moin/RecentChanges,2,visited,text/html,Recent changes in Python Wiki,"Python, Wiki, RecentChanges, EditorsGroup, LocalUserGroups, Documentation, BeginnersGuideChinese"
https://wiki.python.org/moin/FindPage,2,visited,text/html,You can use this page to search all entries in this WikiWikiWeb. Searches are not case sensitive.,"recent changes, find page, title index, word index, wiki sandbox"
https://wiki.python.org/moin/HelpContents,2,visited,text/html,"Welcome to MoinMoin. You will find here the help pages for the wiki system itself. If you would like a quick overview of MoinMoin's syntax, have a look at HelpOnMoinWikiSyntax. If you are looking for something for a presentation, look at WikiCourse.","HelpForUsers, HelpOnAdministration, HelpIndex"
https://wiki.python.org/moin/FrontPage?action=info,2,visited,text/html,,
https://wiki.python.org/moin/FrontPage?action=AttachFile,2,visited,text/html,Attachments for 'FrontPage',"attachments, wiki-logo.gif"
https://wiki.python.org/moin/FrontPage?action=login,2,visited,text/html,Login - Python Wiki,"FrontPage, RecentChanges, FindPage, HelpContents"
https://wiki.python.org/moin/WikiEditingGuidelines,2,visited,text/html,"The wiki guidelines state that the ultimate test of any wiki modification is whether it provides real value to a reader. They emphasize helpfulness, friendliness, and caution in editing.","wiki, guidelines"
https://wiki.python.org/moin/LanguageComparisons,2,visited,text/html,Comparing Python to various other languages.,"PythonVsHaskell, PythonVsNice, PythonVsRuby, PythonVsPhp, Hyperpolyglot, Rosetta Code, David Howard's Essay, Guido's Essay, Eric Raymond's Essay, Peter Norvig's Essay, Frank Stajano's Paper, Stephen Ferg's Python & Java: a Side-by-Side Comparison"
https://wiki.python.org/moin/GUI%20Programming%20in%20Python,2,visited,text/html,This webpage has been merged into GuiProgramming.,"Python, gui programming, python wiki"
https://wiki.python.org/moin/PythonImplementations,2,visited,text/html,"An implementation of Python should be taken to mean a program or environment which provides support for the execution of programs written in the Python language, as represented by the CPython reference implementation. There have been and are several distinct software packages providing what we all recognize as Python, although some of those are more like distributions or variants of some existing implementation than a completely new implementation of the language.","CPython, CrossTwine Linker, Stackless Python, Pyston, Cinder, Pyjion, unladen-swallow, S6, wpython, eGenix PyRun, x-python, Falcon, RegCPython, PyJion, GraalPython, Skybison, Brython, CLPython, Jython, IronPython, PyPypy, PyMite, pyvm, RapydScript, SNAPpy, tinypy, Transcrypt, Berp, phpython, Pyjaco, Pystacho, https:web.archive.orgweb20041206021225if_http:www.twistedmatrix.comusersz3pfilespyvm2.py, Skulpt, Typhon, Violet, RustPython, pocketpy, Psyco, Cython, Nuitka, MyPyC, 2c-python, Compyler, GCC Python Front-End, Pyc, Shed Skin, Voc"
https://wiki.python.org/moin/AppsWithPythonScripting,2,visited,text/html,"Python is a free and open-source solution used in applications such as scripting, automation, and GUI programming. It can be embedded and distributed without charge, making it a versatile tool for developers to integrate Python into existing codebases.","Applications, Toolkits, Games, Graphics, Python Implementations, GUI Programming in Python"
https://wiki.python.org/moin/FrontPage#start,2,visited,text/html,"Welcome to the Python Wiki, a user-editable compendium of knowledge based around the Python programming language. Some pages are protected against casual editing - see [WikiEditingGuidelines](/moin/WikiEditingGuidelines) for more information about editing content. Python combines remarkable power with very clear syntax. It has modules, classes, exceptions, very high level dynamic data types, and dynamic typing. There are interfaces to many system calls and libraries, as well as to various windowing systems. New built-in modules are easily written in C or C++ (or other languages, depending on the chosen implementation). Python is also usable as an extension language for applications written in other languages that need easy-to-use scripting or automation interfaces.","Python, LanguageComparisons, GUI Programming in Python, PythonImplementations, AppsWithPythonScripting, RecentChanges, FindPage, HelpContents"
https://wiki.python.org/moin/FrontPage#events,2,visited,text/html,"The Python Wiki is a user-editable compendium of knowledge based around the Python programming language. It includes tutorials, courses, resources, and various topics like core development tools, software, and community involvement.","Python, Programming Language, Tutorial, Resource, Community, Core Development Tools, Software, Wiki"
https://wiki.python.org/moin/FrontPage#software,2,visited,text/html,"The Python Wiki is a user-editable compendium of knowledge based around the Python programming language. It contains resources on tutorials, courses, conferences, and community involvement with Python.","Python, programming language, Beginners Guide, Documentation, tutorials, courses, resources, Beginner Errors, Python Audio Materials, Asking for Help, Local User Groups, Python Training, Python Events, Python Event Calendars, Participating in the Community, Python Software Foundation, Find a job where you can use Python, Language Comparisons, GUI Programming in Python, Python Implementations, AppsWithPythonScripting, RecentChanges, FindPage, HelpContents"
https://wiki.python.org/moin/FrontPage#dev,2,visited,text/html,"The Python Wiki is a user-editable compendium of knowledge based around the Python programming language. It features links to tutorials, courses and resources, learning materials, books about Python plus reviews, common beginner pitfalls, Python Audio Materials, questions asked by beginners with answers, languages written in other languages, software projects written in Python, applications, Python editors, useful modules, publishing Python modules, and a list of development process-related resources.","wiki, python, programming, gui, community, software, core-development-tools, using-this-wiki"
https://wiki.python.org/moin/FrontPage#use,2,visited,text/html,"Welcome to the Python Wiki, a user-editable compendium of knowledge based around the Python programming language. Some pages are protected against casual editing - see WikiEditingGuidelines for more information about editing content. Python combines remarkable power with very clear syntax. It has modules, classes, exceptions, very high level dynamic data types, and dynamic typing. There are interfaces to many system calls and libraries, as well as to various windowing systems. New built-in modules are easily written in C or C++ (or other languages, depending on the chosen implementation). Python is also usable as an extension language for applications written in other languages that need easy-to-use scripting or automation interfaces.","Python, Programming Language, Object-Oriented Programming, Interpreted, Interactive, Dynamic Typing, Modules, Classes, Exceptions, Frameworks, Software"
https://wiki.python.org/moin/BeginnersGuide,2,visited,text/html,"This guide provides a comprehensive introduction to Python, including installation steps, learning resources, and community support. It covers topics such as new users, getting started with Python, learning Python basics, using IDEs, seeking help, available documentation, and various resources for beginners.","BeginnersGuide, Python, Language"
https://wiki.python.org/moin/Documentation,2,visited,text/html,"The provided content includes sections on reference documentation, beginners guide, topic guides, advanced topics, philosophy and wisdom, other resources, and working on the official documentation.","documentation, python"
https://wiki.python.org/moin/BeginnerErrorsWithPythonProgramming,2,visited,text/html,"This webpage discusses common problems experienced by beginners using Python, including syntax issues, indentation errors, and basic programming concepts. It provides solutions or references for various Python-specific problems.","Beginner Errors, Python Programming, Language Issues, Syntax, Indentation, Errors"
https://wiki.python.org/moin/PythonBooks,2,visited,text/html,"There are a variety of books about Python. Here's a guide to them: IntroductoryBooks (gentle overviews of the language), AdvancedBooks (for when you don't want gentle), ReferenceBooks (much information in a small space), Specific applications, and Books in languages other than English.","Python, Books, BeginnersGuide"
https://wiki.python.org/moin/Asking%20for%20Help,2,visited,text/html,"The most efficient way of getting help is via the various mailing lists and newsgroups, particularly the comp.lang.python newsgroup. Also, you can ask your questions in the official Python Wiki. For those who are willing to wait and add to the archive of problems (and solutions), enter their question in the list below.","BeginnersGuide, Documentation, BeginnerErr...Programming, PythonBooks, Asking for Help"
https://wiki.python.org/moin/PythonAudioMaterial,2,visited,text/html,"PythonAudioMaterial collects links to Python-related podcasts, conference recordings, and other audio materials.","python, podcasts, conference recordings, audio materials"
https://wiki.python.org/moin/Languages,2,visited,text/html,"This page provides a list of languages, their names in English, and brief descriptions. It includes links to other language pages if available.","Languages, PolishLanguage, AfrikaansLanguage, AlbanianLanguage, AmharicLanguage, ArabicLanguage, ArmenianLanguage, AssameseLanguage, AzerbaijaniLanguage, BelarusianLanguage, BengaliLanguage, BodoLanguage, BosnianLanguage, BulgarianLanguage, BurmeseLanguage, CatalanLanguage, ChineseLanguage, CroatianLanguage, CzechLanguage, DanishLanguage, DogriLanguage, DutchLanguage, EsperantoLanguage, EstonianLanguage, FinnishLanguage, FrenchLanguage, GeorgianLanguage, GermanLanguage, GreekLanguage, GujaratiLanguage, HausaLanguage, HebrewLanguage, HindiLanguage, HungarianLanguage, IndonesianLanguage, IcelandicLanguage, IgboLanguage, ItalianLanguage, JapaneseLanguage, KannadaLanguage, KashmiriLanguage, KazakhLanguage, KhmerLanguage, KonkaniLanguage, KoreanLanguage, LaoLanguage, LatvianLanguage, LithuanianLanguage, MalayLanguage, MalayalamLanguage, MarathiLanguage, MongolianLanguage, NepaliLanguage, NorwegianLanguage, OriyaLanguage, OromoLanguage, PersianLanguage, PolishLanguage, PortugueseLanguage, PunjabiLanguage, WesternPunjabiLanguage, RomanianLanguage, RussianLanguage, SanskritLanguage, SlovakLanguage, SloveneLanguage, SerbianLanguage, SinhalaLanguage, SpanishLanguage, SwahiliLanguage, SwedishLanguage, TagalogLanguage, TamilLanguage, TeluguLanguage, ThaiLanguage, TigrinyaLanguage, TurkishLanguage, UkranianLanguage, UrduLanguage, UzbekLanguage, VietnameseLanguage, XhosaLanguage, ZuluLanguage"
https://wiki.python.org/moin/implementation,2,visited,text/html,"You should be redirected automatically to the URL: [/moin/PythonImplementations?action=show&redirect=implementation]. If not, click the link.",
https://wiki.python.org/moin/CategoryDocumentation,2,visited,text/html,A list of relevant tags describing that a page is a PythonDocumentation page.,"CategoryDocumentation, Audio, BeginnersGuide, BeginnersGuideProgrammersSimpleExamples, BeginnersGuideChinese, CAPI CookBook, CategoryUnicode, ConfigParserExamples, DocTools, DocUtils, DocsCoordinationTasks, DocumentationRefTheStandardTypeHierarchy, DocumentationTools, Embedding and Extending, EmbeddingPythonTutorial, EpyDoc, FrontPage, FutureProofPython, IntroductoryBooks, IoSlavesTutorial, NewClassVsClassicClass, PyPIXmlRpc, PySerial, PythonDecoratorLibrary, PythonDocumentation, PythonGlossary, PythonLibraryRefTemplate, PythonLibraryReference, PythonLibraryReferenceCryptographicServices, PythonLibraryReferenceGenericOperatingSystemServices, PythonLibraryReferenceGraphicalUserInterfacesWithTk, PythonLibraryReferenceHistoryAndLicense, PythonLibraryReferenceInternetDataHandling, PythonLibraryReferenceInternetProtocolsAndSupport, PythonLibraryReferenceMiscellaneousServicesPydocModule, PythonLibraryReferenceMsWindowsSpecificServices, PythonLibraryReferenceMultimediaServices, PythonLibraryReferenceOptionalOperatingSystemServices, PythonLibraryReferencePythonCompilerPackage, PythonLibraryReferencePythonLanguageServices, PythonLibraryReferenceReportingBugs, PythonLibraryReferenceRestrictedExecution, PythonLibraryReferenceSgiIrixSpecificServices, PythonLibraryReferenceStructuredMarkupProcessingTools, PythonLibraryReferenceSunOsSpecificServices, PythonLibraryReferenceThePythonDebugger, PythonLibraryReferenceThePythonProfiler, PythonLibraryReferenceThePythonProfilerReferenceManual, PythonLibraryReferenceUndocumentedModules, PythonLibraryReferenceUnixSpecificServices, PythonSpeed, PythonSpeedPerformanceTips, PythonSpeedProfiling, RegularExpression, SimplePrograms, SimpleProgramsChinese, SpanishLanguage, Topically Organized PEP List, UsingAssertionsEffectively, ZopeBooks"
https://wiki.python.org/moin/PythonConferences,2,visited,text/html,"The Python community tends to organize regional events around the world. Established events such as PyCon US and EuroPython have since been joined by other regional conferences, and Python often features prominently in various open source conferences.","Python Conferences, Regional Python Conferences, Africa, Americas, Asia, Australasia, Europe, Online, AI & Data Science, Django, Education & Outreach, Web Frameworks, Science"
https://wiki.python.org/moin/LocalUserGroups,2,visited,text/html,,
https://wiki.python.org/moin/PythonTraining,2,visited,text/html,,
https://wiki.python.org/moin/PythonEvents,2,visited,text/html,The following is a list of Python related events that are occurring around the world or online.,"PythonEvents, PythonConferences, LocalUserGroups, PythonTraining, PythonEvents"
